sample_id,haplotype,assembly_name,location
HG00097,1,HG00097_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG00097/hprc_r2/assembly_qc/nucflag/v1.0.0-a2_ont/HG00097_hap1_NucFlag_v1.0.0-a2_ont_mapq.bw
HG00097,1,HG00097_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG00097/hprc_r2/assembly_qc/nucflag/v1.0.0-a2_ont/HG00097_hap1_NucFlag_v1.0.0-a2_ont_deletion.bw
HG00097,1,HG00097_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG00097/hprc_r2/assembly_qc/nucflag/v1.0.0-a2_ont/HG00097_hap1_NucFlag_v1.0.0-a2_ont_softclip.bw
HG00097,1,HG00097_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG00097/hprc_r2/assembly_qc/nucflag/v1.0.0-a2_ont/HG00097_hap1_NucFlag_v1.0.0-a2_ont_cov.bw
HG00097,1,HG00097_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG00097/hprc_r2/assembly_qc/nucflag/v1.0.0-a2_ont/HG00097_hap1_NucFlag_v1.0.0-a2_ont_ident.bw
HG00097,1,HG00097_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG00097/hprc_r2/assembly_qc/nucflag/v1.0.0-a2_ont/HG00097_hap1_NucFlag_v1.0.0-a2_ont_insertion.bw
HG00097,1,HG00097_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG00097/hprc_r2/assembly_qc/nucflag/v1.0.0-a2_ont/HG00097_hap1_NucFlag_v1.0.0-a2_ont_mismatch.bw
HG00099,1,HG00099_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG00099/hprc_r2/assembly_qc/nucflag/v1.0.0-a2_ont/HG00099_hap1_NucFlag_v1.0.0-a2_ont_softclip.bw
HG00099,1,HG00099_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG00099/hprc_r2/assembly_qc/nucflag/v1.0.0-a2_ont/HG00099_hap1_NucFlag_v1.0.0-a2_ont_mapq.bw
HG00099,1,HG00099_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG00099/hprc_r2/assembly_qc/nucflag/v1.0.0-a2_ont/HG00099_hap1_NucFlag_v1.0.0-a2_ont_mismatch.bw
